incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude,cvi_zone,buffer,cvi_area
1064471-0903,N M 39 Service Drive & W Warren Ave,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,2023-12-20 21:58:00,611,6,48228.0,-83.21569179395982,42.34338482928837,Non-CVI,False,Non-CVI
732007-1304,Clarita St & Vaughan St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-18 19:10:00,806,8,48219.0,-83.2397046261599,42.42713796700611,Detroit Peoples Community,False,Detroit Peoples Community
1402000-0901,E Robinwood St & Hasse St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2026-03-02 03:13:00,1108,11,48234.0,-83.05637615321771,42.43141815903707,Live in Peace,False,Live in Peace
1392518-1304,Mettetal St & Acacia St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-02-04 20:54:00,814,8,48227.0,-83.20700051469962,42.3916916769562,Detroit 300,False,Detroit 300
1002362-0901,E Warren Ave & Barham St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-08-05 03:46:00,504,5,48224.0,-82.95035478143414,42.39854499923796,Non-CVI,False,Non-CVI
1402187-1304,Fairview St & Goethe Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2026-03-02 14:57:00,508,5,48214.0,-82.97995106386533,42.375051311793335,Non-CVI,False,Non-CVI
1402907-0901,Saint Aubin St & E Larned St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-07-01 14:07:00,709,7,48207.0,-83.02836299566307,42.33681229412801,Non-CVI,False,Non-CVI
996519-0901,Lillibridge St & Mack Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-07-23 10:29:00,501,5,48214.0,-82.9808332110334,42.37814570154656,Non-CVI,False,Non-CVI
1349840-0901,Casino St & Kelly Rd,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-10-14 23:24:00,906,9,48224.0,-82.95593046866256,42.430842521998,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
745042-1304,Owen St & John R St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-11-21 01:37:00,302,3,48202.0,-83.07868211442388,42.38389796886874,Non-CVI,False,Non-CVI
1039727-1304,Algonquin & Freud St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-10-24 16:08:00,512,5,48215.0,-82.95395152699417,42.36568881557305,Non-CVI,False,Non-CVI
1402136-0902,Harper Ave & Raymond Ave,HOMICIDE,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY),902,9002,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY),2026-03-02 12:05:00,701,7,48213.0,-83.00792205941312,42.3926824956385,Non-CVI,False,Non-CVI
1341870-0901,Hayes St & Houston Whittier Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-09-27 02:38:00,906,9,48205.0,-82.96502872675751,42.42078445598505,Detroit Friends & Family,False,Detroit Friends & Family
1337881-1304,Ewald Cir & Livernois Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-09-18 04:41:00,1002,10,48238.0,-83.13975469772568,42.39148295361902,Non-CVI,False,Non-CVI
1401447-1304,Pilgrim St & Schaefer Hwy,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-02-28 04:32:00,201,2,48227.0,-83.17937351871463,42.407542803022686,New Era CC,False,New Era CC
1401446-0901,Pilgrim St & Schaefer Hwy,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2026-02-28 04:32:00,201,2,48227.0,-83.17937351871463,42.407542803022686,New Era CC,False,New Era CC
682815-0903,Trumbull St & W Kirby St,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,2021-06-20 19:32:00,305,3,48208.0,-83.08075350204348,42.35566031717384,Non-CVI,False,Non-CVI
759391-1304,Belfast St & Rangoon St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-12-27 01:34:00,210,2,48210.0,-83.1382548710397,42.3512944468849,Non-CVI,False,Non-CVI
1397692-0901,S Edsel St & Francis St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2026-02-18 12:40:00,415,4,48217.0,-83.1623399847268,42.266144257930286,Non-CVI,False,Non-CVI
1399150-0902,McGraw St & Rosa Parks Blvd,HOMICIDE,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY)             ,902,9002,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY)             ,2026-02-22 10:10:00,305,3,48208.0,-83.08781150729818,42.35927233152169,Non-CVI,False,Non-CVI
1072753-0901,Cornwall St & 3 Mile Dr,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2024-01-09 15:00:00,506,5,48224.0,-82.93885118520119,42.40068217388048,Non-CVI,False,Non-CVI
1397808-1304,Charest St & Emery St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-02-18 21:44:00,1102,11,48234.0,-83.07135168074102,42.43557704313465,Live in Peace,False,Live in Peace
1395621-0901,McIntyre St & Willmarth Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2026-02-13 07:23:00,805,8,48219.0,-83.26287217402204,42.42074430149586,Non-CVI,False,Non-CVI
1401223-1304,W Grand St & Linwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-02-27 23:42:00,1003,10,48238.0,-83.12309531268896,42.39463307845974,Non-CVI,False,Non-CVI
1319323-0901,Duchess St & Courville St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-08-06 17:24:00,911,9,48224.0,-82.96112693515916,42.41828914554316,Detroit Friends & Family,False,Detroit Friends & Family
1066808-1304,Murray Hill St & Keeler St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-12-27 01:45:00,812,8,48227.0,-83.2074096504793,42.40311983218516,Detroit 300,False,Detroit 300
1368633-0901,Kay St & Nardin Park,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-11-28 20:12:00,1004,10,48204.0,-83.13138533506864,42.36844147464711,Non-CVI,False,Non-CVI
1092067-1304,Tireman Ave & Greenfield,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-02-27 01:50:00,207,2,48228.0,-83.19665197356896,42.35090324549879,Non-CVI,False,Non-CVI
1160524-0901,Goulburn St & Lappin St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2024-07-28 21:27:00,901,9,48205.0,-82.99370059113562,42.43654907858585,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1153396-1304,Lillibridge St & E Warren Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-07-13 11:30:00,501,5,48213.0,-82.98631583392077,42.38637937904671,Non-CVI,False,Non-CVI
1173306-0901,Saint John St & Ewers St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2024-08-25 02:30:00,405,4,48210.0,-83.13090663627302,42.32841338502298,Non-CVI,False,Non-CVI
1401686-0902,W Warren Ave & Burnette St,HOMICIDE,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY)             ,902,9002,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY)             ,2026-03-01 03:06:00,210,2,48210.0,-83.14055906624095,42.34487165950432,Non-CVI,False,Non-CVI
676000-0901,Moran St & Hendricks St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-06-06 22:44:00,710,7,48207.0,-83.02207205945754,42.354166758061055,Non-CVI,False,Non-CVI
