cvi_name,cvi_area_sq_miles,GEOID,tract_area_sq_miles,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units,intersection_area_sq_miles,overlap_share,total_population_weighted,poverty_universe_weighted,below_poverty_weighted,housing_units_weighted,occupied_units_weighted,vacant_units_weighted
Detroit Friends & Family,3.8155638307775,26163500900,0.45021753030162726,3771.0,3771.0,1666.0,1706.0,1279.0,427.0,0.2624387287364996,0.5829153932781703,2198.1739480519805,2198.1739480519805,971.1370452014318,994.4536609325586,745.5487880027798,248.90487292977872
Detroit Friends & Family,3.8155638307775,26163501000,0.34590017992739436,2933.0,2905.0,1184.0,1230.0,853.0,377.0,0.18777763938178543,0.542866555956116,1592.2276086192883,1577.027345052517,642.7540022520413,667.7258638260226,463.06517223056693,204.66069159545572
Detroit Friends & Family,3.8155638307775,26163501100,0.4769644302041611,2886.0,2886.0,1352.0,1488.0,1174.0,314.0,0.45225625614879644,0.9481970300284478,2736.4966286621,2736.4966286621,1281.9623845984613,1410.9171806823304,1113.1833132533977,297.7338674289326
Detroit Friends & Family,3.8155638307775,26163501200,0.26541329219917353,1639.0,1639.0,806.0,682.0,498.0,184.0,0.25344665925864607,0.9549132116128254,1565.1027538334208,1565.1027538334208,769.6600485599373,651.2508103199469,475.546779383187,175.70403093675986
Detroit Friends & Family,3.8155638307775,26163501300,0.4769024244978482,3746.0,3746.0,1099.0,1401.0,1147.0,254.0,0.0016543144868281143,0.0034688741382894327,12.994402522032216,12.994402522032216,3.8122926779800865,4.8598926677434955,3.9787986366179795,0.8810940311255159
Detroit Friends & Family,3.8155638307775,26163501400,0.49132069880015183,3365.0,3365.0,592.0,1365.0,1169.0,196.0,0.04465968173257561,0.09089721202798592,305.86911847417264,305.86911847417264,53.81114952056767,124.07469441820079,106.25884086071555,17.81585355748524
Detroit Friends & Family,3.8155638307775,26163501500,0.6187388017095394,4168.0,4139.0,868.0,1723.0,1572.0,151.0,0.0233876823344435,0.03779895857480522,157.54605933978814,156.4498895411188,32.80949604293093,65.12760562438939,59.419962879593804,5.707642744795588
Detroit Friends & Family,3.8155638307775,26163503900,0.37985520816243956,1795.0,1795.0,756.0,936.0,611.0,325.0,0.37953373841688165,0.9991537045204328,1793.480899614177,1793.480899614177,755.3602006174473,935.2078674311251,610.4829134619845,324.7249539691407
Detroit Friends & Family,3.8155638307775,26163504000,0.24400942484704685,1024.0,1023.0,191.0,540.0,378.0,162.0,0.24331989714716304,0.9971741759552278,1021.1063561781533,1020.109182002198,190.46026760744851,538.4740550158231,376.93183851107614,161.5422165047469
Detroit Friends & Family,3.8155638307775,26163504100,0.28518610570404507,1209.0,1185.0,457.0,756.0,547.0,209.0,0.28509023438282843,0.9996638289197857,1208.593569164021,1184.601637269946,456.8463698163421,755.7458546633579,546.8161144191228,208.9297402442352
Detroit Friends & Family,3.8155638307775,26163504200,0.38845304426752325,1639.0,1634.0,475.0,1066.0,603.0,463.0,0.3679582335453669,0.9472399276447894,1552.5262414098097,1547.7900417715857,449.9389656312749,1009.7577628693455,571.185676369808,438.5720864995375
Detroit Friends & Family,3.8155638307775,26163504300,0.3652439875602687,2053.0,2053.0,516.0,1024.0,726.0,298.0,0.3533191535014884,0.967351046246004,1985.9716979430461,1985.9716979430461,499.1531398629381,990.5674713559081,702.2968595745989,288.2706117813092
Detroit Friends & Family,3.8155638307775,26163504400,0.37137132095050623,1699.0,1699.0,771.0,873.0,572.0,301.0,0.35705146189756504,0.9614405899295341,1633.4875622902784,1633.4875622902784,741.2706948356707,839.3376350084833,549.9440174396935,289.39361756878975
Detroit Friends & Family,3.8155638307775,26163505200,0.4115203115362655,3188.0,3179.0,1173.0,1542.0,1300.0,242.0,0.0008968577485329894,0.002179376627085279,6.947852687147869,6.928238297504102,2.5564087835710323,3.3605987589655,2.8331896152108627,0.5274091437546375
Detroit Friends & Family,3.8155638307775,26163505400,0.5367027149768824,2183.0,2183.0,586.0,1317.0,841.0,476.0,0.005568622060830804,0.010375617460907876,22.649972917161893,22.649972917161893,6.080111832092015,13.664688196015673,8.725894284623523,4.938793911392149
