GEOID,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units
26163542500,2437.0,2358.0,208.0,1040.0,983.0,57.0
26163542600,3231.0,3179.0,971.0,1389.0,1171.0,218.0
26163542900,3631.0,3631.0,638.0,1473.0,1416.0,57.0
26163543000,1751.0,1751.0,44.0,693.0,614.0,79.0
26163543100,2313.0,2313.0,167.0,1037.0,953.0,84.0
26163543200,3202.0,3202.0,618.0,1168.0,1054.0,114.0
26163543300,3391.0,3384.0,582.0,1427.0,1181.0,246.0
26163543400,3565.0,3509.0,345.0,1423.0,1299.0,124.0
26163543500,1099.0,1099.0,490.0,599.0,426.0,173.0
26163543700,2020.0,2020.0,846.0,800.0,649.0,151.0
26163543900,898.0,898.0,311.0,579.0,487.0,92.0
26163544000,2562.0,2562.0,849.0,1251.0,1126.0,125.0
26163544100,2838.0,2838.0,876.0,1159.0,988.0,171.0
26163544200,1646.0,1646.0,536.0,1127.0,659.0,468.0
26163544300,2833.0,2833.0,342.0,1431.0,1086.0,345.0
26163544800,1582.0,1582.0,358.0,910.0,643.0,267.0
26163545100,610.0,610.0,245.0,561.0,337.0,224.0
26163545200,2757.0,2757.0,1400.0,1232.0,945.0,287.0
26163545500,3862.0,3862.0,2116.0,1695.0,1390.0,305.0
26163545600,5034.0,5034.0,2041.0,1478.0,1389.0,89.0
26163545700,3175.0,3161.0,1887.0,1169.0,1049.0,120.0
26163545800,5147.0,5147.0,2226.0,1883.0,1647.0,236.0
26163545900,4325.0,4314.0,2401.0,1586.0,1361.0,225.0
26163546000,2198.0,2198.0,560.0,1461.0,1137.0,324.0
26163546100,3714.0,3714.0,1482.0,1571.0,1389.0,182.0
26163546201,3306.0,3283.0,765.0,1400.0,1338.0,62.0
26163546301,1664.0,1636.0,265.0,699.0,636.0,63.0
26163546600,1479.0,1479.0,607.0,888.0,718.0,170.0
26163546700,2824.0,2824.0,638.0,1169.0,987.0,182.0
26163547000,3144.0,3144.0,1280.0,1601.0,1323.0,278.0
26163547100,3923.0,3901.0,1201.0,2235.0,1676.0,559.0
26163547200,3550.0,3422.0,1195.0,1641.0,1454.0,187.0
26163981700,0.0,0.0,0.0,0.0,0.0,0.0
26163981800,0.0,0.0,0.0,0.0,0.0,0.0
26163983600,0.0,0.0,0.0,0.0,0.0,0.0
26163984100,0.0,0.0,0.0,0.0,0.0,0.0
26163984200,0.0,0.0,0.0,0.0,0.0,0.0
26163985000,0.0,0.0,0.0,0.0,0.0,0.0
26163985200,0.0,0.0,0.0,0.0,0.0,0.0
26163985300,209.0,209.0,49.0,245.0,202.0,43.0
26163985500,0.0,0.0,0.0,0.0,0.0,0.0
26163985800,0.0,0.0,0.0,0.0,0.0,0.0
26163985900,0.0,0.0,0.0,0.0,0.0,0.0
